Square,Hectare,Reed_pn,A_bin,B_bin,C_bin,D_bin,E_bin,F_bin,Other_habitats,Main_hab
30UXF,7600,0,0,0,0,0,0,0,Arable,Arable
30UXF,172358,0,0,0,0,0,0,0,Arable,Arable
30UXF,216491,0,0,0,0,0,0,0,Arable,Arable
30UXF,218183,0,0,0,0,0,0,0,Arable,Arable
30UXF,240149,0,0,0,0,0,0,0,Arable,Arable
30UXF,246593,0,0,0,0,0,0,0,Arable,Arable
30UXF,266322,0,0,0,0,0,0,0,Arable,Arable
30UXE,75025,0,0,0,0,0,0,0,Arable,Arable
30UXE,78319,0,0,0,0,0,0,0,Arable,Arable
30UXE,78866,0,0,0,0,0,0,0,Arable,Arable
30UXE,79417,0,0,0,0,0,0,0,Arable,Arable
30UXE,103922,0,0,0,0,0,0,0,Arable,Arable
30UXE,115057,0,0,0,0,0,0,0,Arable,Arable
30UXE,115058,0,0,0,0,0,0,0,Arable,Arable
30UXE,131477,0,0,0,0,0,0,0,Arable,Arable
30UXE,281553,0,0,0,0,0,0,0,Arable,Arable
30UWF,209870,0,0,0,0,0,0,0,Arable,Arable
30UWE,5090,0,0,0,0,0,0,0,Arable,Arable
30UWE,89547,0,0,0,0,0,0,0,Arable,Arable
30UXE,83783,0,0,0,0,0,0,0,"Arable, broadleaf",Arable
30UXE,99160,0,0,0,0,0,0,0,"Arable, broadleaf",Arable
30UXE,246463,0.03,1,0,1,0,0,0,"Arable, broadleaf, pasture",Arable
30UXF,247165,0,0,0,0,0,0,0,"Arable, pine",Arable
30UXF,142607,0,0,0,0,0,0,0,Ploughed field,Arable
30UXF,159448,0,0,0,0,0,0,0,Ploughed field,Arable
30UXF,235098,0,0,0,0,0,0,0,Ploughed field,Arable
30UXF,259957,0,0,0,0,0,0,0,Ploughed field,Arable
30UXF,281407,0,0,0,0,0,0,0,Ploughed field,Arable
30UXF,282909,0,0,0,0,0,0,0,Ploughed field,Arable
30UXE,214438,0,0,0,0,0,0,0,Ploughed field,Arable
30UWE,29162,0,0,0,0,0,0,0,Ploughed field,Arable
30UWE,261724,0,0,0,0,0,0,0,Ploughed field,Arable
30UXE,217162,0,0,0,0,0,0,0,"Ploughed field, arable",Arable
30UXE,199175,0,0,0,0,0,0,0,"Ploughed field, arable, broadleaf",Arable
30UWE,81819,0,0,0,0,0,0,0,"Ploughed, stubble field",Arable
30UXF,202194,0,0,0,0,0,0,0,Stubble field,Arable
30UXF,224359,0,0,0,0,0,0,0,Stubble field,Arable
30UXF,297829,0,0,0,0,0,0,0,Stubble field,Arable
30UXE,72308,0,0,0,0,0,0,0,Stubble field,Arable
30UXE,72857,0,0,0,0,0,0,0,Stubble field,Arable
30UXE,91436,0,0,0,0,0,0,0,Stubble field,Arable
30UXE,108974,0,0,0,0,0,0,0,Stubble field,Arable
30UXE,113441,0,0,0,0,0,0,0,Stubble field,Arable
30UXE,261251,0,0,0,0,0,0,0,Stubble field,Arable
30UXE,283919,0,0,0,0,0,0,0,Stubble field,Arable
30UWF,161553,0,0,0,0,0,0,0,Stubble field,Arable
30UWF,162102,0,0,0,0,0,0,0,Stubble field,Arable
30UWF,162651,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,8267,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,8370,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,24801,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,32062,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,58826,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,144002,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,301052,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,301053,0,0,0,0,0,0,0,Stubble field,Arable
30UWE,151667,0,0,0,0,0,0,0,"Stubble, bare ground",Arable
30UXE,159726,0,0,0,0,0,0,0,"Stubble, ploughed field",Arable
30UXF,161963,0,0,0,0,0,0,0,"Stubble, silage",Arable
30UXF,93505,0,0,0,0,0,0,0,Larch,Conifer
30UXF,117916,0,0,0,0,0,0,0,"Larch, clearfell",Conifer
30UWF,218151,0,0,0,0,0,0,0,Beech woodland,Decid_woodland
30UXE,280119,0,0,0,0,0,0,0,Broadleaf,Decid_woodland
30UWF,210270,0,0,0,0,0,0,0,"Broadleaf, bog",Decid_woodland
30UWE,298334,0,0,0,0,0,0,0,"Broadleaf, gardens",Decid_woodland
30UWE,142315,0,0,0,0,0,0,0,"Broadleaf, M57, tall herbs, bare ground",Decid_woodland
30UWE,194054,0,0,0,0,0,0,0,"Broadleaf, pasture",Decid_woodland
30UXE,135680,0,0,0,0,0,0,0,"Broadleaf, river",Decid_woodland
30UXE,133078,0,0,0,0,0,0,0,"Broadleaf, storage yard",Decid_woodland
30UWE,168859,0,0,0,0,0,0,0,"Canal, broadleaf, ploughed, stubble field",Freshwater
30UXE,88654,0.2,1,1,0,1,0,0,Open water,Freshwater
30UWF,235105,0.95,1,1,1,1,1,1,Open water,Freshwater
30UWF,237305,0.85,1,1,1,1,1,0,Open water/willow,Freshwater
30UXF,165951,0,0,0,0,0,0,0,"Pond, bracken, broadleaf",Freshwater
30UXF,177208,0,0,0,0,0,0,0,Grass field,Grass_farmland
30UXE,128387,0,0,0,0,0,0,0,Grass field,Grass_farmland
30UWF,345,0,0,0,0,0,0,0,Grass field,Grass_farmland
